"Suburbs","PostCode","SoilType","DominantSoils","SoilPH","Crops","crops_photo1"
"Leongatha","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Leongatha","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Leongatha","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Lillico","3820","Warragul","Acidic Red Ferrosols","6.1","Rice","/crops photo/rice.jpg"
"Lillico","3820","Warragul","Acidic Red Ferrosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Lillico","3820","Warragul","Acidic Red Ferrosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Lillico","3820","Warragul","Acidic Red Ferrosols","6.1","Potato","/crops photo/potato.jpg"
"Lillico","3820","Warragul","Acidic Red Ferrosols","6.1","Tomato","/crops photo/tomato.jpg"
"Lillico","3820","Warragul","Acidic Red Ferrosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Loch","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Loch","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Loch","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Loch","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Ferndale","3821","riverine","Hydrosols","4.5","Oats","/oat.jpg"
"Fish Creek","3959","sand dune","Aeric Podosols","4.5","Oats","/oat.jpg"
"Flynn","3844","sand dune","Rudosols","4.5","Oats","/oat.jpg"
"Foster","3960","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"French Island","3921","Nyora","Aeric Podosols","4.7","Oats","/oat.jpg"
"Fumina","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Celery","/crops photo/Celery.jpg"
"Glen Forbes","3990","French Island","Aeric and Aquic Podosols","5.5","Celery","/crops photo/Celery.jpg"
"Glengarry","3854","Yinnar","Brown Dermosols and Vertosols","6","Celery","/crops photo/Celery.jpg"
"Grantville","3984","Monomeith with sandy rises","Grey, Yellow and Brown Sodosols","4.5","Oats","/oat.jpg"
"Hallora","3818","Ripplebrook","Redoxic Hydrosols","5","Oats","/oat.jpg"
"Hallston","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Hazel Park","3966","Agnes","Yellow Kandosols","5.5","Celery","/crops photo/Celery.jpg"
"Hazelwood","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Celery","/crops photo/Celery.jpg"
"Hedley","3967","Agnes","Yellow Kandosols","5.5","Celery","/crops photo/Celery.jpg"
"Hill End","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Celery","/crops photo/Celery.jpg"
"Icy Creek","3833","Jindivick","Dark brownish grey or grey sandy loams","5.5","Celery","/crops photo/Celery.jpg"
"Inverloch","3996","riverine","Hydrosols","4.5","Oats","/oat.jpg"
"Almurta","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Almurta","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Arawata","3951","Strzelecki","Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Arawata","3951","Strzelecki","Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Arawata","3951","Strzelecki","Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Arawata","3951","Strzelecki","Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Arawata","3951","Strzelecki","Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Arawata","3951","Strzelecki","Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Bena","3946","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
